起始节点,目标节点,关系,一级节点,二级节点,三级节点,四级节点,五级节点
回归分析与回归函数,相关分析与回归分析,包含,回归分析与回归函数,相关分析与回归分析,经济变量间的相互关系,确定性的函数关系,Y = f(X)
相关分析与回归分析,经济变量间的相互关系,包含,简单线性回归模型参数的估计,总体回归函数,简单线性相关关系的度量,不确定性的统计关系或相关关系,"Y = f(X, u)"
经济变量间的相互关系,确定性的函数关系,包含,拟合优度的度量,随机扰动项,回归分析,相关关系涉及的变量数量,简单相关关系：只有两个变量的相关关系
确定性的函数关系,Y = f(X),包含,回归系数的假设检验和区间估计,样本回归函数,总体回归函数（PRF）：E(Y|X)=f(X),变量相关关系的表现形式,多重相关或复相关：三个或以上变量的相关关系
经济变量间的相互关系,不确定性的统计关系或相关关系,包含,回归模型预测, 简单线性回归的基本假定,线性的解释,变量相关关系变化的方向,线性相关：散点图接近直线
不确定性的统计关系或相关关系,"Y = f(X, u)",包含,案例分析, 普通最小二乘法,随机扰动项的定义,变量相关的程度,非线性相关：散点图接近曲线
经济变量间的相互关系,相关关系涉及的变量数量,包含,,OLS回归线的性质,引进随机扰动项的原因,简单线性相关系数,正相关：同增或同减
相关关系涉及的变量数量,简单相关关系：只有两个变量的相关关系,包含,,最小二乘估计量的统计性质,样本回归函数的定义,相关系数的特点,负相关：一个增加另一个减少
相关关系涉及的变量数量,多重相关或复相关：三个或以上变量的相关关系,包含,,最佳线性无偏估计量BLUE,样本回归函数的形式,回归分析的定义,完全相关：一个变量的变化完全由另一个变量决定
经济变量间的相互关系,变量相关关系的表现形式,包含,,总变差的分解, 变量和模型的假定,回归分析的目的,不完全相关：介于完全相关和不相关之间
变量相关关系的表现形式,线性相关：散点图接近直线,包含,,可决系数, 随机扰动项统计分布的假定,回归分析与相关分析的密切联系,不相关：两个变量的变化相互完全没有关系，即彼此互不影响
变量相关关系的表现形式,非线性相关：散点图接近曲线,包含,,可决系数与相关系数的关系, 最小二乘准则的定义,注意事项,"总体相关系数，\rho = \frac{Cov(X, Y)}{\sqrt{Var(X)Var(Y)}}，一般是不能直接计算的未知量"
经济变量间的相互关系,变量相关关系变化的方向,包含,,OLS估计的分布性质, 最小二乘的正规方程组,,样本相关系数r = \frac{\sum_{i=1}^{n}(X_i - \bar{X})(Y_i - \bar{Y})}{\sqrt{\sum_{i=1}^{n}(X_i - \bar{X})^2\sum_{i=1}^{n}(Y_i - \bar{Y})^2}}，样本相关系数是根据从总体中抽取的随机样本的观测值和计算出来的，它是对总体相关系数的估计
变量相关关系变化的方向,负相关：一个增加另一个减少,包含,,回归系数的假设检验, 最小二乘估计量的计算,若为线性函数，E(Y|X_i) = f(X_i) = \beta_1 + \beta_2 X_i,相关系数的取值范围，-1 \leq r \leq 1
变量相关关系变化的方向,正相关：同增或同减,包含,,回归系数的区间估计, 样本回归线通过样本均值,第一种：模型就变量而言是线性的，即Y的条件期望是解释变量的线性函数，这时回归线是一条直线,相关系数与线性相关关系，r = 0: 无线性相关；r \neq 0: 存在线性相关；r = 1 或 r = -1: 完全线性相关
经济变量间的相互关系,变量相关的程度,包含,,回归分析结果的报告, 估计值的均值等于实际值的均值,第二种：模型就参数而言是线性的，即Y的条件期望是参数的线性函数，而对于解释变量则可以是线性的，也可以是非线性的,相关系数的对称性，X与Y的对称性：r_{XY} = r_{YX}
变量相关的程度,不完全相关：介于完全相关和不相关之间,包含,,被解释变量平均值预测, 剩余项的均值为零,u_i = Y_i - E(Y|X_i),相关系数的局限性，相关系数不能确定因果关系，也不能说明相关关系具体接近于哪条直线。
变量相关的程度,不相关：两个变量的变化相互完全没有关系，即彼此互不影响,包含,,被解释变量个别值预测, 被解释变量估计值与剩余项不相关,作为未知影响因素的代表,相关系数的局限性，相关系数只反映变量间的线性相关程度，不能说明非线性相关关系。
变量相关的程度,完全相关：一个变量的变化完全由另一个变量决定,包含,,被解释变量预测特点, 解释变量与剩余项不相关,作为无法取得数据的已知因素的代表,样本相关系数是根据从总体中抽取的随机样本的观测值X和Y计算出来的，不是确定的值，而是随抽样而变动的随机变量。
相关分析与回归分析,简单线性相关关系的度量,包含,,模型设定, 参数估计量的评价标准,作为众多细小影响因素的综合代表,关于一个变量（被解释变量或应变量）对另一个或多个变量（解释变量）依存关系的研究，是用适当的数学模型去近似地表达或估计变量之间的平均变化关系
简单线性相关关系的度量,简单线性相关系数,包含,,估计参数, OLS估计量的统计特性,变量和函数形式的设定可能会引起设定误差，这种设定误差也要由随机扰动项来表示,根据解释变量的数值估计被解释变量的总体平均值
简单线性相关系数,总体相关系数,包含,,模型检验,标准误差SE,包含变量的观测误差,相关分析可以表明变量间相关关系的性质和程度，只有当变量间存在一定程度的相关关系时，进行回归分析去寻求相关的具体数学形式才有实际的意义。
简单线性相关关系的度量,简单线性相关系数,包含,,回归预测,OLS估计量\hat{\beta}_1\，\hat{\beta}_2\,经济现象的内在随机性,"进行相关分析时,要具体确定变量间相关的数学形式，又要依赖于回归分析，而且在多个变量的相关分析中相关系数的确定也是建立在回归分析基础上的。"
简单线性相关系数,样本相关系数r,包含,,,总变差分解的公式,样本回归函数（SRF）：解释样本条件均值随X变动规律的函数,在对经济问题开展相关分析和回归分析时，要注意与定性的经济分析相结合，才能得到有实际意义的结果。
简单线性相关关系的度量,相关系数的特点,包含,,,总变差的组成部分,\hat{Y}_i = \hat{\beta}_1 + \hat{\beta}_2 X_i,
相关系数的特点,相关系数的取值范围,包含,,,可决系数,Y_i = \hat{\beta}_1 + \hat{\beta}_2 X_i + e_i,\beta_1和 \beta_2 是未知的参数，\beta_1称为截距系数，\beta_2称为斜率系数。
相关系数的特点,相关系数与线性相关关系,包含,,,可决系数的计算公式, 解释变量的确定性,"\hat{\beta}_1,\hat{\beta}_2分别为SRF的截距系数和斜率系数"
相关系数的特点,相关系数的对称性,包含,,,可决系数的特点, 模型中变量无测量误差,e_i是剩余项，又称残差，在概念上类似于总体回归的随机扰动项
相关系数的特点,相关系数的局限性,包含,,,可决系数与相关系数的联系, 模型对变量和函数形式设定的正确性, 解释变量是确定性变量，是非随机的
相关分析与回归分析,回归分析,包含,,,可决系数与相关系数的区别, 零均值假定, 模型中的变量没有测量误差
回归分析,回归分析的定义,包含,,,在古典假定下，\(\hat{\beta}_1\) 和 \(\hat{\beta}_0\) 服从正态分布, 同方差假定, 假设模型对变量和函数形式的设定是正确的
回归分析,回归分析的目的,包含,,,OLS估计的标准化变换, 无自相关假定, 在给定解释变量的条件下，随机扰动项的条件期望或条件均值为零 $\mathbb{E}(u|X) = 0$
回归分析,回归分析与相关分析的密切联系,包含,,,方差估计, 随机扰动项与解释变量不相关, 对于给定的每一个 $X$，随机扰动项的条件方差都等于某一个常数 $\text{Var}(u|X) = \sigma^2$
