起始节点,目标节点,关系,一级节点,二级节点,三级节点,四级节点,五级节点,,,,,,,
虚拟变量,引子,包含,虚拟变量,引子,定性因素对房地产价格是否有显著影响,,,,,,,,,,
引子,定性因素对房地产价格是否有显著影响,包含,虚拟变量,引子,影响商品房价格的因素,,,,,,,,,,
引子,影响商品房价格的因素,包含,虚拟变量,引子,成本费用因素,,,,,,,,,,
引子,成本费用因素,包含,虚拟变量,引子,房地产供求因素,,,,,,,,,,
引子,房地产供求因素,包含,虚拟变量,引子,经济因素,,,,,,,,,,
引子,经济因素,包含,虚拟变量,引子,人口因素,,,,,,,,,,
引子,人口因素,包含,虚拟变量,引子,社会因素,,,,,,,,,,
引子,社会因素,包含,虚拟变量,引子,行政因素,,,,,,,,,,
引子,行政因素,包含,虚拟变量,引子,区域因素,,,,,,,,,,
引子,区域因素,包含,虚拟变量,引子,个别因素,,,,,,,,,,
引子,个别因素,包含,虚拟变量,引子,房地产投机因素,,,,,,,,,,
引子,房地产投机因素,包含,虚拟变量,引子,自然因素,,,,,,,,,,
引子,自然因素,包含,虚拟变量,虚拟变量的基本概念,定量因素,可直接测度的数值型因素,,,,,,,,,
引子,虚拟变量的基本概念,包含,虚拟变量,虚拟变量的基本概念,定性因素（属性因素）,表示的是某种属性，是说明某种属性或状态存在与否的非数值型因素，不能直接用可观测的数据精确测度与描述,,,,,,,,,
虚拟变量,定量因素,包含,虚拟变量,虚拟变量的基本概念,虚拟变量,人工构造的作为属性因素代表的变量，通常用字母D表示,,,,,,,,,
虚拟变量的基本概念,可直接测度的数值型因素,包含,虚拟变量,虚拟变量的基本概念,虚拟变量,一般情形下，虚拟变量的取值为0和1。,,,,,,,,,
定量因素,虚拟变量的基本概念,包含,虚拟变量,虚拟变量的基本概念,虚拟变量,虚拟变量取值为0,表示某种属性或状态的类型或水平不出现或不存在,,,,,,,,
定量因素,定性因素（属性因素）,包含,虚拟变量,虚拟变量的基本概念,虚拟变量,虚拟变量取值为1,某种属性或状态的类型或水平出现或存在,,,,,,,,
定量因素,定量因素,包含,虚拟变量,虚拟变量的基本概念,虚拟变量的作用,可以作为属性因素的代表,如性别、所有制等,,,,,,,,
定量因素,可直接测度的数值型因素,包含,虚拟变量,虚拟变量的基本概念,虚拟变量的作用,可以作为某些非精确计量的数量因素的代表,如受教育程度、管理者素质等,,,,,,,,
定量因素,可直接测度的数值型因素,包含,虚拟变量,虚拟变量的基本概念,虚拟变量的作用,可以作为某些偶然因素或政策因素的代表,如战争、灾害、改革前后等,,,,,,,,
定量因素,可直接测度的数值型因素,包含,虚拟变量,虚拟变量的基本概念,虚拟变量的作用,可以作为时间序列分析中季节（月份）的代表,,,,,,,,,
定量因素,可直接测度的数值型因素,包含,虚拟变量,虚拟变量的基本概念,虚拟变量的作用,可以实现分段回归，研究斜率、截距的变动，或比较两个回归模型的结构差异,,,,,,,,,
定量因素,可直接测度的数值型因素,包含,虚拟变量,虚拟变量的基本概念,虚拟变量的作用,虚拟变量模型类型,解释变量中只包含虚拟变量，作用是在假定其他因素都不变时，只研究定性变量是否使被解释变量表现出显著性差异,,,,,,,,
定量因素,可直接测度的数值型因素,包含,虚拟变量,虚拟变量的基本概念,虚拟变量的作用,虚拟变量模型类型,解释变量中既含定量变量，又含虚拟变量，研究定量变量和虚拟变量同时对被解释变量的影响,,,,,,,,
定量因素,虚拟变量模型类型,包含,虚拟变量,虚拟变量的基本概念,虚拟变量的作用,虚拟变量模型类型,被解释变量本身为虚拟变量的模型，是被解释变量本身取值为0或1的模型，适于对某社会经济现象进行“是”与“否”的判断研究,,,,,,,,
